Model,Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
resnet50,1,0.8848558466929894,0.708299512987013,0.6096271651905852,0.7873376623376623
resnet50,2,0.5541269008989458,0.8179788961038961,0.48917242729818666,0.8258928571428571
resnet50,3,0.45775054820946287,0.8447646103896104,0.4270845047839276,0.8486201298701299
resnet50,4,0.4061323683950808,0.8604910714285714,0.3878993157829557,0.8656655844155844
resnet50,5,0.3701476380228996,0.8734780844155844,0.35820275661233186,0.8766233766233766
resnet50,6,0.3426070068176691,0.8817978896103896,0.347070969931491,0.8754058441558441
resnet50,7,0.3162157881956596,0.8910308441558441,0.3313815920770942,0.8806818181818182
resnet50,8,0.29692515290596266,0.8973214285714286,0.31595764609126303,0.8818993506493507
resnet50,9,0.28830874682246865,0.9001623376623377,0.312285144220699,0.8790584415584416
resnet50,10,0.2750092628472424,0.8988433441558441,0.30777838593953616,0.877435064935065
vgg16,1,0.8114330103838598,0.6887175324675324,0.5546431193104038,0.7913961038961039
vgg16,2,0.6555309786231487,0.7513189935064936,0.4892847625079093,0.8129058441558441
vgg16,3,0.6083464593469322,0.7675527597402597,0.4732865865354414,0.8092532467532467
vgg16,4,0.5956278957620069,0.773640422077922,0.4474315761358707,0.827922077922078
vgg16,5,0.5883606976599662,0.7747564935064936,0.421950660549201,0.8258928571428571
vgg16,6,0.5698068177738747,0.7774959415584416,0.4360992504017694,0.8210227272727273
vgg16,7,0.5770735272339412,0.7775974025974026,0.43183246603259795,0.8295454545454546
vgg16,8,0.5614926544586559,0.7875405844155844,0.4104280840460356,0.8425324675324676
vgg16,9,0.5635815420998381,0.7842938311688312,0.40278575830645375,0.8376623376623377
vgg16,10,0.5479772122359121,0.7899756493506493,0.38976946318304384,0.8392857142857143
